time_key,open,high,low,close,volume,turnover,code,name
2025-09-10 00:00:00,111496.39,111636.0,111431.63001,111537.509,0.003,385.913,CC.BTCUSD,BTC/USD
2025-09-10 01:00:00,111540.32176,111713.12849,111400.00001,111412.23516,1.263,141051.736,CC.BTCUSD,BTC/USD
2025-09-10 02:00:00,111416.82955,111977.09139,111400.01,111897.87,0.876,97987.081,CC.BTCUSD,BTC/USD
2025-09-10 03:00:00,111887.93,112543.75949,111775.74,112543.75949,0.006,673.396,CC.BTCUSD,BTC/USD
2025-09-10 04:00:00,112547.0,112833.47,112352.06895,112352.06895,2.011,227022.333,CC.BTCUSD,BTC/USD
2025-09-10 05:00:00,112357.47362,112435.36308,112113.21,112233.13,0.068,7778.8769999999995,CC.BTCUSD,BTC/USD
2025-09-10 06:00:00,112245.96207,112436.01546,112214.31,112337.61,1.6019999999999999,180256.342,CC.BTCUSD,BTC/USD
2025-09-10 07:00:00,112337.05,112408.13251,112179.88692,112282.96,0.281,31718.673,CC.BTCUSD,BTC/USD
2025-09-10 08:00:00,112288.83794,113499.99999,112288.83794,113182.29695,7.296000000000001,823473.7470000001,CC.BTCUSD,BTC/USD
2025-09-10 09:00:00,113191.81,114307.38687,113162.06827,113823.42,2.7359999999999998,311589.201,CC.BTCUSD,BTC/USD
2025-09-10 10:00:00,113825.03267,114301.62975,113825.03267,113832.71243,2.396,273987.536,CC.BTCUSD,BTC/USD
2025-09-10 11:00:00,113836.38879,114109.56,113780.00001,113936.61,0.8,91305.438,CC.BTCUSD,BTC/USD
2025-09-10 12:00:00,113929.94565,113941.73213,113600.01,113679.67354,0.321,36851.474,CC.BTCUSD,BTC/USD
2025-09-10 13:00:00,113672.392,114072.17552,113450.25559,113729.56,0.037,4213.636,CC.BTCUSD,BTC/USD
2025-09-10 14:00:00,113727.92921,113885.25,113361.68319,113494.5,0.025,2838.426,CC.BTCUSD,BTC/USD
2025-09-10 15:00:00,113510.2,113650.13,113168.90899,113371.18001,0.115,13259.448999999999,CC.BTCUSD,BTC/USD
2025-09-10 16:00:00,113370.55007,113900.97,113370.55007,113607.30502,0.096,11000.205,CC.BTCUSD,BTC/USD
2025-09-10 17:00:00,113608.17659,113820.69,113536.63323,113803.64523,0.0,0.0,CC.BTCUSD,BTC/USD
