code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,dt
US.QQQ,Invesco QQQ Trust,2026-08-25 19:10:00,710.99,710.84,711.0,710.75,0.0,0.0,9959.0,7080307.002,-0.0210973431412505,710.99,2026-08-25 19:10:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:15:00,710.84,710.74,710.84,710.74,0.0,0.0,1030.0,732380.13,-0.0140678633729141,710.84,2026-08-25 19:15:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:20:00,710.74,710.74,710.77,710.7362,0.0,0.0,1425.0,1013441.955,0.0,710.74,2026-08-25 19:20:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:25:00,710.73,710.45,710.73,710.31,0.0,0.0,12321.0,8754535.694,-0.0408025438275548,710.74,2026-08-25 19:25:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:30:00,710.45,710.07,710.45,710.07,0.0,0.0,20196.0,14343129.793,-0.0534872264057984,710.45,2026-08-25 19:30:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:35:00,710.07,709.89,710.07,709.7384,0.0,0.0,12186.0,8651774.525,-0.0253496134184043,710.07,2026-08-25 19:35:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:40:00,709.89,709.9,710.0,709.84,0.0,0.0,7039.0,4997698.325,0.001408668948709,709.89,2026-08-25 19:40:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:45:00,709.89,709.74,709.93,709.7299,0.0,0.0,3748.0,2660503.313,-0.0225383856881206,709.9,2026-08-25 19:45:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:50:00,709.74,709.4157,709.74,709.4157,0.0,0.0,34501.0,24479462.635,-0.0456927889086135,709.74,2026-08-25 19:50:00
US.QQQ,Invesco QQQ Trust,2026-08-25 19:55:00,709.4157,709.35,709.5,709.12,0.0,0.0,12497.0,8864331.719,-0.0092611426558493,709.4157,2026-08-25 19:55:00
US.QQQ,Invesco QQQ Trust,2026-08-25 20:00:00,709.35,709.22,709.57,709.18,0.0,0.0,16214.0,11501825.956,-0.0183266370620984,709.35,2026-08-25 20:00:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:05:00,710.72,709.79,710.72,709.0,0.0,0.0,148280.0,105255744.647,0.0803699839259942,709.22,2026-08-26 04:05:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:10:00,709.79,709.99,709.99,709.39,0.0,0.0,6932.0,4919999.238,0.0281773482297645,709.79,2026-08-26 04:10:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:15:00,709.99,709.29,709.99,709.26,0.0,0.0,4386.0,3111832.72,-0.0985929379287096,709.99,2026-08-26 04:15:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:20:00,709.29,708.895,709.55,708.88,0.0,0.0,6730.0,4773156.935,-0.055689492309208,709.29,2026-08-26 04:20:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:25:00,708.895,708.85,708.97,708.7,0.0,0.0,7741.0,5486907.699,-0.0063479076590974,708.895,2026-08-26 04:25:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:30:00,708.85,709.8069,709.85,708.85,0.0,0.0,4478.0,3176883.609,0.1349932990054339,708.85,2026-08-26 04:30:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:35:00,709.7654,709.71,709.99,709.49,0.0,0.0,3490.0,2477256.6,-0.0136516001746397,709.8069,2026-08-26 04:35:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:40:00,709.69,709.92,709.92,709.69,0.0,0.0,3512.0,2493168.289,0.0295895506615269,709.71,2026-08-26 04:40:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:45:00,709.92,710.07,710.12,709.87,0.0,0.0,2019.0,1434202.844,0.0211291413117099,709.92,2026-08-26 04:45:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:50:00,710.07,709.83,710.07,709.76,0.0,0.0,1123.0,797761.446,-0.0337994845578617,710.07,2026-08-26 04:50:00
US.QQQ,Invesco QQQ Trust,2026-08-26 04:55:00,709.78,709.6,709.85,709.6,0.0,0.0,1970.0,1398661.967,-0.0324021244523362,709.83,2026-08-26 04:55:00
US.QQQ,Invesco QQQ Trust,2026-08-26 05:00:00,709.6,709.46,709.6,709.36,0.0,0.0,1110.0,788033.558,-0.0197294250281829,709.6,2026-08-26 05:00:00
US.QQQ,Invesco QQQ Trust,2026-08-26 05:05:00,709.46,709.73,709.73,709.46,0.0,0.0,2939.0,2086056.092,0.038057113861244,709.46,2026-08-26 05:05:00
US.QQQ,Invesco QQQ Trust,2026-08-26 05:10:00,709.73,709.31,709.73,709.31,0.0,0.0,438.0,311381.773,-0.05917743367197,709.73,2026-08-26 05:10:00
US.QQQ,Invesco QQQ Trust,2026-08-26 05:15:00,709.34,709.38,709.47,709.33,0.0,0.0,967.0,686159.775,0.0098687456824308,709.31,2026-08-26 05:15:00
US.QQQ,Invesco QQQ Trust,2026-08-26 05:20:00,709.38,709.15,709.49,709.15,0.0,0.0,3581.0,2540337.283,-0.0324226789590936,709.38,2026-08-26 05:20:00
US.QQQ,Invesco QQQ Trust,2026-08-26 05:25:00,709.15,708.95,709.33,708.95,0.0,0.0,1559.0,1105933.358,-0.0282027779736207,709.15,2026-08-26 05:25:00
