time_key,open,high,low,close,volume,time_clean
2025-09-09 00:00:00,131.548865272,137.778866178,131.349185756,135.023288854,20704950.0,2025-09-09
2025-09-10 00:00:00,139.795629291,142.007079933,138.118321355,139.77566134,25791266.0,2025-09-10
2025-09-11 00:00:00,147.483290665,156.009606007,147.373466931,150.328723771,52446416.0,2025-09-11
2025-09-12 00:00:00,153.303948562,158.02636912,152.964493385,156.97805166,32288339.0,2025-09-12
2025-09-15 00:00:00,156.708484313,160.082968297,156.299141305,157.517186354,20101397.0,2025-09-15
2025-09-16 00:00:00,157.726849846,159.304318024,156.913155817,158.565503814,16911615.0,2025-09-16
2025-09-17 00:00:00,157.152771237,160.332667532,155.011208426,159.733628984,18843556.0,2025-09-17
2025-09-18 00:00:00,162.728821727,170.176867681,162.33944667,168.619367455,28212796.0,2025-09-18
2025-09-19 00:00:00,162.489206307,163.437684009,159.124606459,162.469238356,37309873.0,2025-09-19
2025-09-22 00:00:00,164.111602376,166.991979398,161.331065113,164.356209784,25851216.0,2025-09-22
2025-09-23 00:00:00,165.41451122,168.719207213,164.965232308,166.143341454,43316501.0,2025-09-23
2025-09-24 00:00:00,164.815472671,165.733998446,158.046337072,161.450872823,57096440.0,2025-09-24
2025-09-25 00:00:00,157.137795273,158.695295499,154.402185901,156.578692628,32209195.0,2025-09-25
2025-09-26 00:00:00,158.26598454,158.665343572,154.931336619,157.017987563,24044953.0,2025-09-26
2025-09-29 00:00:00,159.74361296,165.534318929,159.714260071,163.637363525,26506504.0,2025-09-29
2025-09-30 00:00:00,163.84203503,168.679271309,163.69726738,167.051883252,20092460.0,2025-09-30
2025-10-01 00:00:00,165.334639413,182.097734798,165.234799655,181.858119379,41674762.0,2025-10-01
2025-10-02 00:00:00,184.658624593,185.88166163,180.919625653,183.455555508,25122189.0,2025-10-02
2025-10-03 00:00:00,185.029016677,191.662428306,184.739300059,187.646456468,29399259.0,2025-10-03
2025-10-06 00:00:00,194.819440323,200.803587021,189.244892982,190.773397898,36392256.0,2025-10-06
2025-10-07 00:00:00,194.659596671,195.109057039,183.06094172,185.508547631,27828161.0,2025-10-07
2025-10-08 00:00:00,188.80532294,196.757544595,188.615508604,196.347945239,26833890.0,2025-10-08
2025-10-09 00:00:00,192.776438654,196.427867065,189.314824579,192.142059162,19721480.0,2025-10-09
2025-10-10 00:00:00,192.77144354,193.250974494,179.434488879,181.422544293,26990253.0,2025-10-10
2025-10-13 00:00:00,190.603564018,193.210514069,187.806300119,192.581629204,20928376.0,2025-10-13
2025-10-14 00:00:00,186.777306614,192.271932129,186.068000411,186.877208896,15912423.0,2025-10-14
2025-10-15 00:00:00,192.286917471,192.691521714,187.240353691,191.752440262,17793126.0,2025-10-15
2025-10-16 00:00:00,199.764603287,206.138368885,195.009254659,202.332091937,42041348.0,2025-10-16
2025-10-17 00:00:00,199.085267768,203.191251563,195.358912646,202.182238513,23283075.0,2025-10-17
2025-10-20 00:00:00,209.450129536,214.540150809,205.299189715,206.567948698,23268429.0,2025-10-20
