time_key,open,high,low,close,volume,turnover,code,name
2025-09-10 09:00:00,765.13,765.7,752.07,753.43,2071762.0,1568252994.984,US.META,Meta Platforms
2025-09-10 10:00:00,753.48,757.9399,752.685,754.7192,1728292.0,1305928972.053,US.META,Meta Platforms
2025-09-10 11:00:00,754.7225,757.9,753.0,757.81,1014116.0,766235433.627,US.META,Meta Platforms
2025-09-10 12:00:00,757.81,758.78,755.6019,756.61,692416.0,524223645.728,US.META,Meta Platforms
2025-09-10 13:00:00,756.57,759.7,754.62,755.63,703157.0,532196415.662,US.META,Meta Platforms
2025-09-10 14:00:00,755.595,756.82,754.362,755.63,567444.0,428806322.251,US.META,Meta Platforms
2025-09-10 15:00:00,755.5775,756.18,751.0,752.01,1282922.0,966488771.344,US.META,Meta Platforms
2025-09-10 16:00:00,752.1,752.97,751.5,751.98,2268134.0,1705752849.2,US.META,Meta Platforms
2025-09-11 09:00:00,754.65,755.62,748.37,753.0,1205880.0,907209430.781,US.META,Meta Platforms
2025-09-11 10:00:00,752.885,757.1,750.5693,751.1173,1261138.0,950372227.8510001,US.META,Meta Platforms
2025-09-11 11:00:00,751.0,754.17,748.88,749.8125,973539.0,731484777.188,US.META,Meta Platforms
2025-09-11 12:00:00,749.805,753.25,749.805,751.52,669225.0,502997929.283,US.META,Meta Platforms
2025-09-11 13:00:00,751.53,754.25,751.47,753.46,536426.0,403879863.242,US.META,Meta Platforms
2025-09-11 14:00:00,753.5515,755.38,751.9256,752.093,650556.0,490436355.667,US.META,Meta Platforms
2025-09-11 15:00:00,751.99,753.47,751.0,751.27,934739.0,703191421.543,US.META,Meta Platforms
2025-09-11 16:00:00,751.62,751.75,750.5,750.9,1205860.0,905562289.978,US.META,Meta Platforms
2025-09-12 09:00:00,748.725,749.88,743.76,748.175,917647.0,685752573.3610001,US.META,Meta Platforms
2025-09-12 10:00:00,748.1,752.02,747.37,751.69,1023586.0,767590117.131,US.META,Meta Platforms
2025-09-12 11:00:00,751.5744,751.89,748.4801,749.86,677482.0,508177485.792,US.META,Meta Platforms
2025-09-12 12:00:00,749.86,754.16,749.71,754.15,742033.0,558102140.1240001,US.META,Meta Platforms
2025-09-12 13:00:00,754.09,756.6,753.5,753.8701,665042.0,502249160.667,US.META,Meta Platforms
2025-09-12 14:00:00,753.92,757.5703,753.8926,754.97,657965.0,497287884.411,US.META,Meta Platforms
2025-09-12 15:00:00,754.91,755.3605,752.8453,754.1,732218.0,552186925.993,US.META,Meta Platforms
2025-09-12 16:00:00,754.63,756.31,754.63,755.59,2115753.0,1598688027.645,US.META,Meta Platforms
2025-09-15 09:00:00,757.47,763.76,751.985,759.31,1340157.0,1017293678.865,US.META,Meta Platforms
2025-09-15 10:00:00,759.46,760.0,755.8,758.4679,1127857.0,854287004.871,US.META,Meta Platforms
2025-09-15 11:00:00,758.51,766.14,758.22,764.205,1487493.0,1135170140.295,US.META,Meta Platforms
