time_key,open,high,low,close,volume,turnover,code,name
2025-09-10 09:00:00,232.185,232.42,228.84,230.18,11266971.0,2595536297.678,US.AAPL,Apple
2025-09-10 10:00:00,230.16,230.305,227.35,228.03,14315909.0,3270972472.93,US.AAPL,Apple
2025-09-10 11:00:00,228.02,228.26,226.2401,227.0,11838509.0,2690209662.304,US.AAPL,Apple
2025-09-10 12:00:00,226.995,228.055,226.82,227.18,8677045.0,1972865015.739,US.AAPL,Apple
2025-09-10 13:00:00,227.1899,227.745,226.6,226.91,5093007.0,1156567950.848,US.AAPL,Apple
2025-09-10 14:00:00,226.9,227.35,226.35,226.655,6288330.0,1426314359.746,US.AAPL,Apple
2025-09-10 15:00:00,226.66,227.3,225.95,226.7,8956710.0,2028560894.782,US.AAPL,Apple
2025-09-10 16:00:00,226.7,227.06,226.495,226.79,10899853.0,2472090122.491,US.AAPL,Apple
2025-09-11 09:00:00,226.875,228.52,226.65,228.5,6047190.0,1376826416.862,US.AAPL,Apple
2025-09-11 10:00:00,228.51,229.3,228.3202,228.77,9540566.0,2182973903.903,US.AAPL,Apple
2025-09-11 11:00:00,228.75,229.32,228.33,228.42,4579384.0,1047321566.986,US.AAPL,Apple
2025-09-11 12:00:00,228.41,228.76,228.03,228.645,2947445.0,673381570.581,US.AAPL,Apple
2025-09-11 13:00:00,228.64,229.95,228.58,229.94,3995724.0,916362448.904,US.AAPL,Apple
2025-09-11 14:00:00,229.94,230.16,229.18,229.99,4596729.0,1056151319.575,US.AAPL,Apple
2025-09-11 15:00:00,229.985,230.44,229.41,230.4,5780846.0,1329660731.991,US.AAPL,Apple
2025-09-11 16:00:00,230.39,230.45,229.94,230.03,7573346.0,1742648825.885,US.AAPL,Apple
2025-09-12 09:00:00,229.22,230.94,229.02,230.39,4880646.0,1121875710.98,US.AAPL,Apple
2025-09-12 10:00:00,230.385,234.51,230.2345,233.715,11761837.0,2740733003.305,US.AAPL,Apple
2025-09-12 11:00:00,233.725,234.49,233.36,234.385,6240861.0,1460139779.269,US.AAPL,Apple
2025-09-12 12:00:00,234.371,234.38,233.425,233.43,3835063.0,897129199.312,US.AAPL,Apple
2025-09-12 13:00:00,233.43,233.87,233.0,233.625,4873291.0,1136967580.124,US.AAPL,Apple
2025-09-12 14:00:00,233.63,234.22,233.02,233.74,6022374.0,1406751021.183,US.AAPL,Apple
2025-09-12 15:00:00,233.755,234.45,233.51,234.085,5692056.0,1331698142.058,US.AAPL,Apple
2025-09-12 16:00:00,234.08,234.29,233.98,234.07,8388345.0,1963460907.426,US.AAPL,Apple
2025-09-15 09:00:00,237.0,238.19,235.0728,235.53,8275686.0,1959629820.316,US.AAPL,Apple
2025-09-15 10:00:00,235.525,236.77,235.03,236.71,6667657.0,1572171757.67,US.AAPL,Apple
2025-09-15 11:00:00,236.71,237.3,236.42,237.08,4570087.0,1082406320.857,US.AAPL,Apple
2025-09-15 12:00:00,237.11,237.27,236.08,236.145,2874782.0,680263296.859,US.AAPL,Apple
2025-09-15 13:00:00,236.145,236.37,235.58,235.93,3189610.0,752624492.696,US.AAPL,Apple
2025-09-15 14:00:00,235.935,236.14,235.27,235.86,2925256.0,689709210.98,US.AAPL,Apple
2025-09-15 15:00:00,235.87,236.17,235.835,236.17,400521.0,94526280.217,US.AAPL,Apple
