code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.PLTR,Palantir,2025-08-06,171.175,179.54,180.5813,171.01,944.947,0.03829,82924849.0,14697926735.0,3.6186298839960647,173.27
US.PLTR,Palantir,2025-08-07,181.01,182.2,184.48,178.17,958.947,0.03594,77829184.0,14120077069.0,1.481563996880916,179.54
US.PLTR,Palantir,2025-08-08,184.735,186.96,187.99,184.41,984.0,0.02894,62657935.0,11698340450.0,2.6125137211855214,182.2
US.PLTR,Palantir,2025-08-11,186.47,182.68,187.18,181.92,961.473,0.02592,56125630.0,10369173275.0,-2.2892597347026107,186.96
US.PLTR,Palantir,2025-08-12,184.7,186.97,190.0,182.1,984.052,0.02539,54983765.0,10208689272.0,2.348368732209323,182.68
US.PLTR,Palantir,2025-08-13,189.0,184.37,189.46,183.59,970.368,0.02476,53610031.0,9967056042.0,-1.3905974220463146,186.97
US.PLTR,Palantir,2025-08-14,182.41,181.02,185.33,179.2,952.736,0.02469,53472933.0,9740874866.0,-1.8169984270759851,184.37
US.PLTR,Palantir,2025-08-15,179.725,177.17,180.0,173.38,932.473,0.02784,60288736.0,10661285902.0,-2.1268368136117677,181.02
US.PLTR,Palantir,2025-08-18,175.27,174.03,177.9,171.39,915.947,0.02894,62656597.0,10882630823.0,-1.7723090816729619,177.17
US.PLTR,Palantir,2025-08-19,171.36,157.75,172.3,156.9,830.263,0.06369,137922722.0,22254373653.0,-9.354708958225594,174.03
US.PLTR,Palantir,2025-08-20,152.3,156.01,156.46,142.34,821.105,0.10175,220336359.0,33198225656.0,-1.103011093502383,157.75
US.PLTR,Palantir,2025-08-21,157.17,156.18,157.97,153.81,822.0,0.04372,94678639.0,14776831054.0,0.10896737388629955,156.01
US.PLTR,Palantir,2025-08-22,155.315,158.74,163.2,151.77,835.473,0.04715,102099177.0,16249942653.0,1.6391343321808183,156.18
US.PLTR,Palantir,2025-08-25,156.1,157.17,158.59,149.37,827.21,0.04012,86879821.0,13478777796.0,-0.9890386796018783,158.74
US.PLTR,Palantir,2025-08-26,155.39,160.87,162.13,154.57,846.684,0.03998,86573715.0,13838088886.0,2.3541388305656405,157.17
US.PLTR,Palantir,2025-08-27,162.32,156.72,162.4,155.9801,824.842,0.03527,76380553.0,12036536986.0,-2.5797227575060644,160.87
US.PLTR,Palantir,2025-08-28,157.63,158.12,158.23,152.55,832.21,0.02673,57885244.0,9055241080.0,0.8933129147524285,156.72
US.PLTR,Palantir,2025-08-29,156.98,156.71,158.42,153.0,824.789,0.02091,45270502.0,7082228256.0,-0.891727801669616,158.12
US.PLTR,Palantir,2025-09-02,151.2,157.09,158.39,150.28,826.789,0.03022,65434969.0,10218361002.0,0.2424861208601847,156.71
US.PLTR,Palantir,2025-09-03,158.0,154.9,161.15,152.71,815.263,0.0305,66052296.0,10385707790.0,-1.3941052899611672,157.09
US.PLTR,Palantir,2025-09-04,154.865,156.14,157.04,153.16,821.789,0.02461,53292341.0,8268653365.0,0.8005164622336867,154.9
US.PLTR,Palantir,2025-09-05,157.82,153.11,158.97,148.04,805.842,0.0378,81855896.0,12461018073.0,-1.9405661585756198,156.14
US.PLTR,Palantir,2025-09-08,154.91,156.1,158.3,154.84,821.578,0.022,47642952.0,7471092018.0,1.9528443602638497,153.11
US.PLTR,Palantir,2025-09-09,157.25,162.36,162.75,156.37,854.526,0.02834,61359531.0,9840391966.0,4.010249839846265,156.1
US.PLTR,Palantir,2025-09-10,166.0,166.74,169.0,163.44,877.578,0.02873,62211418.0,10357434678.0,2.697708795269768,162.36
US.PLTR,Palantir,2025-09-11,167.24,164.36,167.458,163.22,865.052,0.01941,42025501.0,6941185332.0,-1.427371956339208,166.74
US.PLTR,Palantir,2025-09-12,165.35,171.43,171.53,164.01,902.263,0.02517,54498535.0,9184312299.0,4.301533219761495,164.36
US.PLTR,Palantir,2025-09-15,169.6,171.21,171.8,167.41,901.105,0.02096,45396116.0,7697645310.0,-0.12833226389780017,171.43
US.PLTR,Palantir,2025-09-16,171.04,170.26,171.31,168.96,896.105,0.01598,34598658.0,5883195602.0,-0.5548741311839361,171.21
US.PLTR,Palantir,2025-09-17,169.02,168.33,169.68,161.27,885.947,0.03198,69255497.0,11500087925.0,-1.1335604369787258,170.26
