time_key,open,high,low,close,volume
2026-08-25 19:00:00,350.88,350.92,350.5,350.56,24181.0
2026-08-25 20:00:00,350.56,350.8,350.55,350.8,6137.0
2026-08-26 04:00:00,350.25,350.7,348.68,350.0,68632.0
2026-08-26 05:00:00,350.0,350.0,349.25,349.83,17639.0
2026-08-26 06:00:00,349.83,350.2889,349.4,349.84,26550.0
2026-08-26 07:00:00,349.84,350.5,348.41,348.95,82597.0
2026-08-26 08:00:00,348.95,349.92,347.55,347.8204,132121.0
2026-08-26 09:00:00,347.55,351.93,342.53,348.23,5401946.0
2026-08-26 10:00:00,348.23,349.66,343.81,343.91,4314231.0
2026-08-26 11:00:00,343.96,345.28,343.06,344.24,3875434.0
2026-08-26 12:00:00,344.23,345.06,343.4,344.6889,2368517.0
2026-08-26 13:00:00,344.64,346.93,344.58,346.6534,2596004.0
2026-08-26 14:00:00,346.64,346.85,344.4406,346.3,2283234.0
2026-08-26 15:00:00,346.34,347.44,344.96,346.0399,3536913.0
2026-08-26 16:00:00,346.031,346.93,345.0,346.8,3533994.0
2026-08-26 17:00:00,346.8,348.3999,345.35,347.6163,208716.0
2026-08-26 18:00:00,347.6163,347.9805,347.1,347.49,73533.0
2026-08-26 19:00:00,347.49,347.82,347.1183,347.679,45041.0
2026-08-26 20:00:00,347.56,347.6999,347.56,347.6999,7443.0
2026-08-27 04:00:00,346.52,347.99,346.52,347.11,161679.0
2026-08-27 05:00:00,347.11,347.7275,346.63,347.7275,41803.0
2026-08-27 06:00:00,347.7275,347.7275,346.71,347.2844,33430.0
2026-08-27 07:00:00,347.2844,347.88,345.8,346.0,88952.0
2026-08-27 08:00:00,346.0,346.85,345.34,345.88,131920.0
2026-08-27 09:00:00,345.88,352.44,345.45,350.59,4312492.0
2026-08-27 10:00:00,350.615,354.93,349.24,351.875,5880540.0
2026-08-27 11:00:00,351.84,353.83,350.65,352.2807,3370016.0
2026-08-27 12:00:00,352.315,354.6626,351.6,354.655,2498710.0
2026-08-27 13:00:00,354.655,355.62,352.94,354.25,3036381.0
2026-08-27 14:00:00,354.26,355.74,353.25,354.65,2591585.0
2026-08-27 15:00:00,354.5601,355.71,353.78,355.1513,3024756.0
2026-08-27 16:00:00,355.23,355.71,354.0,354.4942,4823493.0
2026-08-27 17:00:00,354.4942,354.74,354.26,354.26,40024.0
2026-08-27 18:00:00,354.39,354.42,354.01,354.3,50099.0
2026-08-27 19:00:00,354.3,354.65,354.21,354.43,46485.0
2026-08-27 20:00:00,354.43,354.65,354.43,354.65,3704.0
2026-08-28 04:00:00,355.45,357.25,355.0,357.07,103196.0
2026-08-28 05:00:00,357.07,358.0,356.55,356.55,43314.0
2026-08-28 06:00:00,356.54,356.63,356.0,356.4687,29830.0
2026-08-28 07:00:00,356.4687,357.18,355.47,355.55,93159.0
2026-08-28 08:00:00,355.55,356.2,354.82,355.46,425057.0
2026-08-28 09:00:00,355.46,358.8,354.62,355.37,3842782.0
2026-08-28 10:00:00,355.37,355.9473,351.21,353.98,5616022.0
2026-08-28 11:00:00,353.93,354.68,348.04,349.055,4712112.0
2026-08-28 12:00:00,349.02,349.15,346.95,347.525,3844091.0
2026-08-28 13:00:00,347.46,347.5596,345.98,346.77,2487735.0
2026-08-28 14:00:00,346.765,347.1699,345.2301,345.2819,2153370.0
2026-08-28 15:00:00,345.2975,348.64,345.2,348.38,3624940.0
2026-08-28 16:00:00,348.3899,349.78,347.5593,347.9,5837267.0
2026-08-28 17:00:00,347.8999,347.9,347.59,347.89,95267.0
2026-08-28 18:00:00,347.89,348.0,347.65,347.65,18983.0
2026-08-28 19:00:00,347.65,348.13,347.65,348.1003,36701.0
2026-08-28 20:00:00,348.1003,348.25,348.1,348.1151,8295.0
2026-08-31 04:00:00,349.3,349.3,347.5,347.66,118385.0
2026-08-31 05:00:00,347.66,347.68,346.66,346.77,44859.0
2026-08-31 06:00:00,346.77,347.34,346.66,346.9767,36771.0
2026-08-31 07:00:00,346.95,347.0181,345.8074,346.6,102655.0
2026-08-31 08:00:00,346.6,346.9,345.397,345.4,80276.0
2026-08-31 09:00:00,345.4,361.0339,345.2861,360.4,7133735.0
2026-08-31 10:00:00,360.44,365.81,358.7631,362.2946,12266955.0
2026-08-31 11:00:00,362.35,367.15,361.85,367.04,7724488.0
2026-08-31 12:00:00,367.09,367.09,363.3,365.89,5958038.0
2026-08-31 13:00:00,365.82,368.5,364.95,368.35,6033428.0
2026-08-31 14:00:00,368.35,368.54,365.38,365.9399,4644979.0
2026-08-31 15:00:00,365.905,368.92,365.25,368.725,5781827.0
2026-08-31 16:00:00,368.71,368.94,367.24,367.71,11220616.0
2026-08-31 17:00:00,367.71,367.75,367.14,367.39,399474.0
2026-08-31 18:00:00,367.39,367.4,366.7,366.84,82933.0
2026-08-31 19:00:00,366.84,367.4622,366.84,367.36,93681.0
2026-08-31 20:00:00,367.35,367.4845,367.3,367.45,9024.0
2026-09-01 04:00:00,365.98,366.36,363.36,364.3122,226536.0
2026-09-01 05:00:00,364.3,364.41,362.52,363.6321,133785.0
2026-09-01 06:00:00,363.6321,364.42,363.32,363.61,76763.0
2026-09-01 07:00:00,363.61,364.35,362.77,362.84,199713.0
