time_key,time_clean,open,high,low,close,volume
2025-09-09 04:00:00,2025-09-09 04:00,168.974940142,169.753902632,168.5654855,169.41435488,478493.0
2025-09-09 05:00:00,2025-09-09 05:00,169.41435488,169.743915934,169.304501196,169.34444799,221816.0
2025-09-09 06:00:00,2025-09-09 06:00,169.34444799,169.584128756,169.194647511,169.2745411,187158.0
2025-09-09 07:00:00,2025-09-09 07:00,169.2745411,169.364421387,168.265884542,168.755232773,460776.0
2025-09-09 08:00:00,2025-09-09 08:00,168.755232773,168.964853577,168.395711624,168.895046554,1411124.0
2025-09-09 09:00:00,2025-09-09 09:00,168.895046554,169.41435488,167.71661612,167.873207554,18228193.0
2025-09-09 10:00:00,2025-09-09 10:00,167.86571753,168.515552007,166.518312156,167.282194731,28080101.0
2025-09-09 11:00:00,2025-09-09 11:00,167.287088214,168.026203776,167.000170363,168.00123703,16278095.0
2025-09-09 12:00:00,2025-09-09 12:00,167.99624368,168.70529928,167.816582973,168.088420908,12765274.0
2025-09-09 13:00:00,2025-09-09 13:00,168.096110666,168.235924447,167.621742483,168.041183824,12223537.0
2025-09-09 14:00:00,2025-09-09 14:00,168.046177173,168.668348496,167.736589517,168.650372438,15015559.0
2025-09-09 15:00:00,2025-09-09 15:00,168.649573502,170.447978184,168.605432294,170.233264165,25051898.0
2025-09-09 16:00:00,2025-09-09 16:00,170.233264165,174.537531257,170.19331737,173.30916733,23058683.0
2025-09-09 17:00:00,2025-09-09 17:00,173.319154029,174.257903696,173.009566373,173.738495503,2622529.0
2025-09-09 18:00:00,2025-09-09 18:00,173.738495503,173.798415694,173.269220536,173.349114125,714268.0
2025-09-09 19:00:00,2025-09-09 19:00,173.349114125,173.508901302,173.00966624,173.459866612,589750.0
2025-09-09 20:00:00,2025-09-09 20:00,173.459866612,173.988262834,173.458967809,173.988262834,161138.0
2025-09-10 04:00:00,2025-09-10 04:00,172.989592975,173.968289437,172.919686085,173.788528863,640305.0
2025-09-10 05:00:00,2025-09-10 05:00,173.788528863,174.168023409,173.66868848,173.788528863,389598.0
2025-09-10 06:00:00,2025-09-10 06:00,173.788528863,174.527544558,173.588794891,174.527544558,473624.0
2025-09-10 07:00:00,2025-09-10 07:00,174.527544558,175.416360733,174.118089916,175.286533651,1355468.0
2025-09-10 08:00:00,2025-09-10 08:00,175.306507048,176.265230113,175.216626761,176.125815801,4408476.0
2025-09-10 09:00:00,2025-09-10 09:00,176.125815801,178.711971268,175.236600158,177.20897313,50421591.0
2025-09-10 10:00:00,2025-09-10 10:00,177.20397978,178.951652034,176.577414311,178.397390262,43893511.0
2025-09-10 11:00:00,2025-09-10 11:00,178.392396913,179.05151902,177.463633944,177.818161744,26183194.0
2025-09-10 12:00:00,2025-09-10 12:00,177.813268261,177.893061983,177.13407289,177.453547378,18055475.0
2025-09-10 13:00:00,2025-09-10 13:00,177.448653896,178.082809256,177.174019685,177.388733704,14106234.0
2025-09-10 14:00:00,2025-09-10 14:00,177.388733704,177.533540834,175.915695662,176.290196859,19925696.0
2025-09-10 15:00:00,2025-09-10 15:00,176.287600318,177.308939983,175.725948389,177.004245809,23818751.0
2025-09-10 16:00:00,2025-09-10 16:00,177.014232507,177.743261504,176.604777865,176.634737961,21769372.0
2025-09-10 17:00:00,2025-09-10 17:00,176.634737961,176.824485234,176.305276774,176.664698057,948777.0
2025-09-10 18:00:00,2025-09-10 18:00,176.664698057,177.004245809,176.494924181,176.923753018,200029.0
2025-09-10 19:00:00,2025-09-10 19:00,176.923753018,177.044192603,176.764565043,177.034205904,225393.0
2025-09-10 20:00:00,2025-09-10 20:00,177.034205904,177.034205904,176.92435222,176.934338919,36875.0
2025-09-11 04:00:00,2025-09-11 04:00,177.573514804,177.973005276,177.423705877,177.593489327,307054.0
2025-09-11 05:00:00,2025-09-11 05:00,177.593489327,177.77326004,177.094126237,177.27389695,186747.0
2025-09-11 06:00:00,2025-09-11 06:00,177.27389695,178.452393842,177.253922426,178.422432057,495210.0
2025-09-11 07:00:00,2025-09-11 07:00,178.422432057,178.44240658,177.893107181,178.192725035,312834.0
2025-09-11 08:00:00,2025-09-11 08:00,178.212699559,178.712062649,177.653412898,178.572240984,2147762.0
2025-09-11 09:00:00,2025-09-11 09:00,178.572240984,180.05035573,177.383756829,177.953030752,27105868.0
2025-09-11 10:00:00,2025-09-11 10:00,177.94304349,178.052803497,176.699629396,177.353795044,25870792.0
2025-09-11 11:00:00,2025-09-11 11:00,177.343807782,178.302584915,176.924342787,177.973005276,21085661.0
2025-09-11 12:00:00,2025-09-11 12:00,177.973005276,178.042916108,176.794508383,176.974279096,11710929.0
2025-09-11 13:00:00,2025-09-11 13:00,176.974279096,177.293871473,176.255196246,176.664574107,13318209.0
2025-09-11 14:00:00,2025-09-11 14:00,176.660079839,177.513591233,176.604750409,177.221363952,14111265.0
2025-09-11 15:00:00,2025-09-11 15:00,177.21896701,177.393744091,176.674661242,177.034202666,13048128.0
2025-09-11 16:00:00,2025-09-11 16:00,177.029209035,177.723323731,176.724597551,176.845643164,20065921.0
2025-09-11 17:00:00,2025-09-11 17:00,176.845643164,177.074151714,176.794508383,177.024215405,987785.0
2025-09-11 18:00:00,2025-09-11 18:00,177.024215405,177.074151714,176.794508383,176.974279096,221984.0
2025-09-11 19:00:00,2025-09-11 19:00,176.974279096,177.064164452,176.894381001,176.974279096,139452.0
2025-09-11 20:00:00,2025-09-11 20:00,176.974279096,177.044189928,176.924342787,176.994253619,43675.0
2025-09-12 04:00:00,2025-09-12 04:00,176.974279096,177.523578495,176.77453386,177.503603971,268274.0
2025-09-12 05:00:00,2025-09-12 05:00,177.493616709,177.703349207,177.413718615,177.463654924,261587.0
2025-09-12 06:00:00,2025-09-12 06:00,177.463654924,177.473642186,176.904368263,176.964291834,241814.0
2025-09-12 07:00:00,2025-09-12 07:00,176.964291834,177.493616709,176.954304572,177.473642186,293015.0
2025-09-12 08:00:00,2025-09-12 08:00,177.473642186,177.593489327,177.074151714,177.4436804,926604.0
2025-09-12 09:00:00,2025-09-12 09:00,177.4436804,178.212699559,176.225234461,177.253822553,16998489.0
2025-09-12 10:00:00,2025-09-12 10:00,177.248928795,178.242661344,176.829463799,178.21769319,21216129.0
2025-09-12 11:00:00,2025-09-12 11:00,178.227680451,178.367502117,177.099119868,177.615661048,18781497.0
2025-09-12 12:00:00,2025-09-12 12:00,177.620355061,177.991381837,177.233947902,177.613463851,12310685.0
2025-09-12 13:00:00,2025-09-12 13:00,177.609868436,177.788240932,177.27389695,177.713336469,8363128.0
2025-09-12 14:00:00,2025-09-12 14:00,177.713336469,177.723323731,177.174024332,177.673387422,9531578.0
2025-09-12 15:00:00,2025-09-12 15:00,177.673387422,177.713336469,177.174024332,177.60847022,13710998.0
2025-09-12 16:00:00,2025-09-12 16:00,177.603476589,177.77326004,177.395042435,177.543553018,20621974.0
2025-09-12 17:00:00,2025-09-12 17:00,177.543553018,177.573514804,177.533565756,177.543553018,1058569.0
2025-09-12 18:00:00,2025-09-12 18:00,177.543553018,177.573514804,177.403731353,177.433693138,120005.0
2025-09-12 19:00:00,2025-09-12 19:00,177.433693138,177.463654924,177.283884211,177.295469435,155425.0
2025-09-12 20:00:00,2025-09-12 20:00,177.295469435,177.362983325,177.274895676,177.303858735,51258.0
2025-09-15 04:00:00,2025-09-15 04:00,177.253922426,177.77326004,172.77962914,173.638533654,1876927.0
2025-09-15 05:00:00,2025-09-15 05:00,173.638533654,173.648520916,172.250304264,173.179119612,1095779.0
2025-09-15 06:00:00,2025-09-15 06:00,173.179119612,174.157871268,172.719705569,173.718431749,1046065.0
2025-09-15 07:00:00,2025-09-15 07:00,173.718431749,175.096673877,173.678482702,174.792062392,1236725.0
2025-09-15 08:00:00,2025-09-15 08:00,174.792062392,175.695909585,174.27771841,175.206533757,3035388.0
2025-09-15 09:00:00,2025-09-15 09:00,175.206533757,176.355068864,174.287705671,175.947089219,20796194.0
2025-09-15 10:00:00,2025-09-15 10:00,175.960572023,176.015501963,174.357616504,174.851985963,24424802.0
2025-09-15 11:00:00,2025-09-15 11:00,174.852085836,177.863145396,174.810039463,177.853158134,23316905.0
2025-09-15 12:00:00,2025-09-15 12:00,177.853158134,178.05290337,176.83445743,177.469796091,16128247.0
2025-09-15 13:00:00,2025-09-15 13:00,177.468548682,177.533565756,176.919349156,177.383756829,10622584.0
2025-09-15 14:00:00,2025-09-15 14:00,177.392046257,177.658406529,176.809489276,177.00993362,10603453.0
2025-09-15 15:00:00,2025-09-15 15:00,177.006737696,177.233947902,176.689642134,177.154049808,16903374.0
2025-09-15 16:00:00,2025-09-15 16:00,177.154049808,178.622177293,176.94431731,177.174024332,15475672.0
2025-09-15 17:00:00,2025-09-15 17:00,177.174024332,177.253922426,177.05417719,177.094126237,181015.0
2025-09-15 18:00:00,2025-09-15 18:00,177.094126237,177.154049808,176.924342787,177.034202666,167023.0
2025-09-15 19:00:00,2025-09-15 19:00,177.034102794,177.174024332,176.974279096,177.094126237,120640.0
2025-09-15 20:00:00,2025-09-15 20:00,177.094026364,177.104113499,177.074151714,177.094126237,30816.0
2025-09-16 04:00:00,2025-09-16 04:00,176.83445743,177.593489327,176.804495645,177.044189928,369216.0
2025-09-16 05:00:00,2025-09-16 05:00,177.044189928,177.243935164,176.914355525,177.034202666,165531.0
2025-09-16 06:00:00,2025-09-16 06:00,177.044189928,177.144062546,176.854431954,177.074151714,194983.0
2025-09-16 07:00:00,2025-09-16 07:00,177.074151714,177.223960641,176.974279096,177.124088023,178881.0
2025-09-16 08:00:00,2025-09-16 08:00,177.124088023,177.233947902,176.974279096,177.064164452,1107946.0
2025-09-16 09:00:00,2025-09-16 09:00,177.064164452,177.27389695,175.586049705,175.815756727,18249126.0
2025-09-16 10:00:00,2025-09-16 10:00,175.815756727,176.624724933,175.486177087,176.350474723,19202723.0
2025-09-16 11:00:00,2025-09-16 11:00,176.350075233,176.375043388,175.296419113,175.561081551,16672317.0
