code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.AMD,Advanced Micro Devices,2026-08-25 19:10:00,481.6241,481.01,481.6241,481.0,0.0,0.0,2675.0,1287476.369,-0.12750607787276586,481.6241
US.AMD,Advanced Micro Devices,2026-08-25 19:15:00,481.01,480.89,481.01,480.89,0.0,0.0,2051.0,986696.428,-0.02494750628885149,481.01
US.AMD,Advanced Micro Devices,2026-08-25 19:20:00,480.89,480.63,480.89,480.63,0.0,0.0,1585.0,762376.337,-0.05406641851566698,480.89
US.AMD,Advanced Micro Devices,2026-08-25 19:25:00,480.63,480.41,480.63,480.41,0.0,0.0,1132.0,544437.446,-0.045773255934912604,480.63
US.AMD,Advanced Micro Devices,2026-08-25 19:30:00,480.41,480.7,480.7,480.41,0.0,0.0,2694.0,1295213.502,0.0603651048063037,480.41
US.AMD,Advanced Micro Devices,2026-08-25 19:35:00,480.7,480.086,480.7,480.05,0.0,0.0,1902.0,913408.73,-0.12773039317661242,480.7
US.AMD,Advanced Micro Devices,2026-08-25 19:40:00,480.086,480.6,480.6,479.4,0.0,0.0,3144.0,1509235.834,0.10706415100628013,480.086
US.AMD,Advanced Micro Devices,2026-08-25 19:45:00,480.6,479.4,480.6,479.4,0.0,0.0,891.0,427556.215,-0.2496878901373378,480.6
US.AMD,Advanced Micro Devices,2026-08-25 19:50:00,479.4,479.45,479.9148,479.4,0.0,0.0,2902.0,1391952.895,0.010429703796414553,479.4
US.AMD,Advanced Micro Devices,2026-08-25 19:55:00,479.45,479.4,479.45,479.0425,0.0,0.0,4526.0,2169476.671,-0.010428616122642898,479.45
US.AMD,Advanced Micro Devices,2026-08-25 20:00:00,479.4,479.8992,480.0,479.17,0.0,0.0,4892.0,2346567.169,0.10413016270338556,479.4
US.AMD,Advanced Micro Devices,2026-08-26 04:05:00,479.18,479.18,479.71,478.2,0.0,0.0,33046.0,15858332.383,-0.1498648049423714,479.8992
US.AMD,Advanced Micro Devices,2026-08-26 04:10:00,479.18,480.0,480.0,479.06,0.0,0.0,3788.0,1817813.921,0.17112567302474918,479.18
US.AMD,Advanced Micro Devices,2026-08-26 04:15:00,480.0,479.5,480.4349,479.5,0.0,0.0,6573.0,3154400.589,-0.10416666666666667,480.0
US.AMD,Advanced Micro Devices,2026-08-26 04:20:00,479.5,478.96,479.5,478.96,0.0,0.0,1342.0,643071.354,-0.11261730969760594,479.5
