time_key,time_clean,open,high,low,close,volume
2025-09-09 04:00:00,2025-09-09 04:00,131.249345998,132.457407071,131.249345998,131.948224304,19292.0
2025-09-09 05:00:00,2025-09-09 05:00,131.948224304,132.297663458,131.928256353,132.227775627,7445.0
2025-09-09 06:00:00,2025-09-09 06:00,132.227775627,132.227775627,131.948224304,131.948224304,18487.0
2025-09-09 07:00:00,2025-09-09 07:00,131.948224304,132.207807676,131.478977441,132.137919845,25597.0
2025-09-09 08:00:00,2025-09-09 08:00,132.137919845,132.207807676,131.788480692,131.788480692,80025.0
2025-09-09 09:00:00,2025-09-09 09:00,131.788480692,133.086397547,131.069634433,131.429057562,2094814.0
2025-09-09 10:00:00,2025-09-09 10:00,131.429057562,132.896702006,131.349185756,132.796862248,2564037.0
2025-09-09 11:00:00,2025-09-09 11:00,132.831806164,134.015706015,132.716990442,133.959496231,2661132.0
2025-09-09 12:00:00,2025-09-09 12:00,133.95999543,135.362644192,133.895099587,135.292307082,3377570.0
2025-09-09 13:00:00,2025-09-09 13:00,135.292856201,137.778866178,134.663865725,135.163064515,3136237.0
2025-09-09 14:00:00,2025-09-09 14:00,135.143196403,135.53247162,134.733753555,134.883513193,1652535.0
2025-09-09 15:00:00,2025-09-09 15:00,134.883513193,135.312824152,134.526685897,134.953401023,2572285.0
2025-09-09 16:00:00,2025-09-09 16:00,134.930937078,136.680628838,134.783673435,135.782071016,2261115.0
2025-09-09 17:00:00,2025-09-09 17:00,135.782071016,136.680628838,135.592375475,136.680628838,75920.0
2025-09-09 18:00:00,2025-09-09 18:00,136.680628838,136.880308355,135.812022943,136.031570571,133614.0
2025-09-09 19:00:00,2025-09-09 19:00,136.210782937,136.210782937,135.812022943,136.001718483,20486.0
2025-09-09 20:00:00,2025-09-09 20:00,136.001718483,136.211381975,135.881910774,135.891894749,4359.0
2025-09-10 04:00:00,2025-09-10 04:00,136.211381975,137.109939798,136.041654387,137.109939798,54144.0
2025-09-10 05:00:00,2025-09-10 05:00,137.109939798,137.109939798,136.401077516,136.780468597,13711.0
2025-09-10 06:00:00,2025-09-10 06:00,136.780468597,137.089971847,136.710580766,136.980148113,23528.0
2025-09-10 07:00:00,2025-09-10 07:00,136.980148113,137.679026419,136.980148113,137.339571242,90597.0
2025-09-10 08:00:00,2025-09-10 08:00,137.339571242,139.575981823,137.339571242,139.276462549,398404.0
2025-09-10 09:00:00,2025-09-10 09:00,139.276462549,142.007079933,138.657456049,140.933802533,6183488.0
2025-09-10 10:00:00,2025-09-10 10:00,140.933802533,141.682600719,139.815597243,140.135084469,4669221.0
2025-09-10 11:00:00,2025-09-10 11:00,140.120108505,141.652648792,138.118321355,141.173417953,2832539.0
2025-09-10 12:00:00,2025-09-10 12:00,141.180406736,141.248297771,140.15505242,140.15515226,1877153.0
2025-09-10 13:00:00,2025-09-10 13:00,140.185004348,140.674219162,139.356334355,140.08516459,1805764.0
2025-09-10 14:00:00,2025-09-10 14:00,140.065196638,140.393469763,139.326482268,139.431214174,1470245.0
2025-09-10 15:00:00,2025-09-10 15:00,139.436206162,139.96535688,138.996911226,139.895469049,2461475.0
2025-09-10 16:00:00,2025-09-10 16:00,139.895469049,139.975340856,138.927023396,138.976943275,3542480.0
2025-09-10 17:00:00,2025-09-10 17:00,138.976943275,138.976943275,136.780468597,137.179827629,281504.0
2025-09-10 18:00:00,2025-09-10 18:00,137.692904146,137.778866178,136.990132089,137.608140191,53438.0
2025-09-10 19:00:00,2025-09-10 19:00,137.608140191,138.078385452,137.189811605,137.928625815,25242.0
2025-09-10 20:00:00,2025-09-10 20:00,137.928625815,138.038449549,137.878705936,137.939807868,8333.0
2025-09-11 04:00:00,2025-09-11 04:00,139.076783033,139.306414476,138.777263759,139.126702912,28675.0
2025-09-11 05:00:00,2025-09-11 05:00,139.096750984,139.436206162,138.976943275,139.176622791,21138.0
2025-09-11 06:00:00,2025-09-11 06:00,139.176622791,141.682600719,138.777263759,141.423017348,81565.0
2025-09-11 07:00:00,2025-09-11 07:00,141.423017348,144.508065873,141.023658316,144.448162019,222882.0
2025-09-11 08:00:00,2025-09-11 08:00,144.448162019,148.022425359,143.869091422,147.752758172,1229067.0
2025-09-11 09:00:00,2025-09-11 09:00,147.752758172,156.009606007,146.87426814,151.631632614,17240618.0
2025-09-11 10:00:00,2025-09-11 10:00,151.636624602,152.585002464,150.268819916,150.758034731,8826454.0
2025-09-11 11:00:00,2025-09-11 11:00,150.743058767,154.741641079,150.678162924,154.654780489,5895303.0
2025-09-11 12:00:00,2025-09-11 12:00,154.6917212,154.971272522,151.976079779,152.23566315,5460003.0
2025-09-11 13:00:00,2025-09-11 13:00,152.232767797,153.513612054,152.16577532,153.024397239,2252630.0
