time_key,open,high,low,close,volume
2025-09-09 04:05:00,494.134415484,496.415646226,494.134415484,496.415646226,2567.0
2025-09-09 04:10:00,496.415646226,496.415646226,496.415646226,496.415646226,653.0
2025-09-09 04:15:00,496.415646226,496.514830171,496.415646226,496.514830171,2444.0
2025-09-09 04:20:00,496.514830171,496.514830171,496.514830171,496.514830171,2010.0
2025-09-09 04:25:00,496.514830171,496.514830171,496.514830171,496.514830171,327.0
2025-09-09 04:30:00,496.514830171,496.514830171,496.514830171,496.514830171,213.0
2025-09-09 04:35:00,496.514830171,496.703279667,496.514830171,496.703279667,1550.0
2025-09-09 04:40:00,496.703279667,496.703279667,496.703279667,496.703279667,386.0
2025-09-09 04:45:00,496.703279667,496.703279667,496.703279667,496.703279667,749.0
2025-09-09 04:50:00,496.703279667,496.703279667,495.9197265,495.9197265,2200.0
2025-09-09 04:55:00,495.9197265,496.018910445,495.9197265,495.9197265,1466.0
2025-09-09 05:00:00,495.9197265,495.9197265,495.9197265,495.9197265,207.0
2025-09-09 05:05:00,495.9197265,496.038747234,495.9197265,496.038747234,744.0
2025-09-09 05:10:00,496.038747234,496.038747234,495.820542554,495.820542554,615.0
2025-09-09 05:15:00,495.820542554,495.820542554,495.820542554,495.820542554,193.0
2025-09-09 05:20:00,495.820542554,495.820542554,495.820542554,495.820542554,162.0
2025-09-09 05:25:00,495.820542554,496.028828839,495.820542554,496.028828839,679.0
2025-09-09 05:30:00,496.028828839,496.028828839,495.28494925,495.28494925,7192.0
2025-09-09 05:35:00,495.28494925,495.28494925,495.28494925,495.28494925,611.0
2025-09-09 05:40:00,495.28494925,495.423806773,495.28494925,495.423806773,1206.0
2025-09-09 05:45:00,495.423806773,495.423806773,495.423806773,495.423806773,539.0
2025-09-09 05:50:00,495.423806773,495.423806773,495.423806773,495.423806773,538.0
2025-09-09 05:55:00,495.423806773,495.423806773,495.423806773,495.423806773,445.0
2025-09-09 06:00:00,495.423806773,495.423806773,495.423806773,495.423806773,329.0
2025-09-09 06:05:00,495.423806773,495.423806773,495.423806773,495.423806773,485.0
2025-09-09 06:10:00,495.423806773,495.423806773,495.423806773,495.423806773,403.0
2025-09-09 06:15:00,495.423806773,495.423806773,495.423806773,495.423806773,49.0
2025-09-09 06:20:00,495.423806773,495.423806773,495.423806773,495.423806773,110.0
2025-09-09 06:25:00,495.423806773,495.423806773,495.423806773,495.423806773,1157.0
2025-09-09 06:30:00,495.423806773,495.423806773,495.423806773,495.423806773,370.0
2025-09-09 06:35:00,495.423806773,495.423806773,495.423806773,495.423806773,330.0
2025-09-09 06:40:00,495.423806773,495.423806773,495.423806773,495.423806773,97.0
2025-09-09 06:45:00,495.423806773,496.316462281,495.423806773,496.316462281,1119.0
2025-09-09 06:50:00,496.316462281,496.316462281,496.316462281,496.316462281,351.0
2025-09-09 06:55:00,496.316462281,496.316462281,495.9197265,495.9197265,1831.0
2025-09-09 07:00:00,495.9197265,495.9197265,495.9197265,495.9197265,488.0
2025-09-09 07:05:00,495.9197265,495.9197265,495.9197265,495.9197265,1734.0
2025-09-09 07:10:00,495.9197265,495.9197265,495.9197265,495.9197265,595.0
2025-09-09 07:15:00,495.9197265,495.969318472,495.820542554,495.820542554,1930.0
2025-09-09 07:20:00,495.820542554,495.929644894,495.820542554,495.929644894,2099.0
2025-09-09 07:25:00,495.929644894,495.929644894,495.691603425,495.721358609,1171.0
2025-09-09 07:30:00,495.780868976,495.800705765,495.780868976,495.790787371,1374.0
2025-09-09 07:35:00,495.790787371,495.9197265,495.790787371,495.9197265,467.0
2025-09-09 07:40:00,495.9197265,495.9197265,495.9197265,495.9197265,364.0
2025-09-09 07:45:00,495.9197265,496.11809439,495.9197265,496.028828839,2119.0
2025-09-09 07:50:00,496.028828839,496.286707097,496.028828839,496.286707097,1553.0
2025-09-09 07:55:00,496.286707097,496.286707097,496.286707097,496.286707097,451.0
2025-09-09 08:00:00,496.286707097,496.286707097,496.167686363,496.167686363,828.0
2025-09-09 08:05:00,496.167686363,496.415646226,495.9197265,496.217278335,19677.0
2025-09-09 08:10:00,496.217278335,496.415547042,496.217278335,496.415547042,630.0
2025-09-09 08:15:00,496.415547042,496.911565953,496.415547042,496.911565953,6359.0
2025-09-09 08:20:00,496.911565953,497.06034187,496.762790035,496.812382007,3002.0
2025-09-09 08:25:00,496.812382007,496.911565953,496.584258933,496.584258933,3073.0
2025-09-09 08:30:00,496.584258933,496.633850906,496.415844594,496.418225009,1525.0
2025-09-09 08:35:00,496.418225009,496.663606089,496.418225009,496.663606089,4787.0
2025-09-09 08:40:00,496.663606089,496.663606089,496.663606089,496.663606089,374.0
2025-09-09 08:45:00,496.663606089,496.663606089,496.415646226,496.415646226,3493.0
2025-09-09 08:50:00,496.415646226,496.613914933,496.232155927,496.232155927,3376.0
2025-09-09 08:55:00,496.232155927,496.772212509,496.232155927,496.375972648,2110.0
2025-09-09 09:00:00,496.375972648,496.574340538,496.375972648,496.574340538,1786.0
2025-09-09 09:05:00,496.574340538,496.604095722,496.018910445,496.018910445,8047.0
2025-09-09 09:10:00,496.018910445,496.412571524,495.991833228,496.217278335,3307.0
2025-09-09 09:15:00,496.217278335,496.819225699,496.217278335,496.366054253,3258.0
2025-09-09 09:20:00,496.366054253,497.159525816,496.366054253,496.911565953,12290.0
2025-09-09 09:25:00,496.911565953,496.911565953,496.22342774,496.22342774,2649.0
2025-09-09 09:30:00,496.22342774,497.714955909,496.22342774,497.109933843,23764.0
2025-09-09 09:35:00,497.338056917,497.997630154,496.018910445,497.308301734,755028.0
2025-09-09 09:40:00,497.313856035,497.546244018,496.614014117,497.357893706,242427.0
