code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.NVDA,NVIDIA,2025-08-06,176.325,179.42,179.9,176.25,61.027,0.00584,137192265.0,24489572089.0,0.6507348816335671,178.26
US.NVDA,NVIDIA,2025-08-07,181.57,180.77,183.88,178.795,61.486,0.00646,151878365.0,27537980435.0,0.7524244788763922,179.42
US.NVDA,NVIDIA,2025-08-08,181.55,182.7,183.3,180.4,62.142,0.00525,123396679.0,22508952781.0,1.0676550312551742,180.77
US.NVDA,NVIDIA,2025-08-11,182.05,182.06,183.84,180.25,61.925,0.00589,138323191.0,25249160490.0,-0.35030103995620493,182.7
US.NVDA,NVIDIA,2025-08-12,182.96,183.16,184.48,179.46,62.299,0.0062,145729202.0,26533437540.0,0.604196418763042,182.06
US.NVDA,NVIDIA,2025-08-13,182.615,181.59,183.97,179.35,61.765,0.00765,179871724.0,32633670267.0,-0.857174055470623,183.16
US.NVDA,NVIDIA,2025-08-14,179.75,182.02,183.02,179.46,61.911,0.00551,129553959.0,23548729290.0,0.2367971804614829,181.59
US.NVDA,NVIDIA,2025-08-15,181.88,180.45,181.9,178.0417,61.377,0.00666,156602161.0,28175295754.0,-0.8625425777387218,182.02
US.NVDA,NVIDIA,2025-08-18,180.6,182.01,182.9375,180.59,61.908,0.00562,132007959.0,24004185242.0,0.8645054031587711,180.45
US.NVDA,NVIDIA,2025-08-19,182.43,175.64,182.5,175.49,59.741,0.00788,185229219.0,32930526447.0,-3.499807702873471,182.01
US.NVDA,NVIDIA,2025-08-20,175.165,175.4,176.0,168.801,59.659,0.00915,215142725.0,37128230971.0,-0.13664313368252146,175.64
US.NVDA,NVIDIA,2025-08-21,174.85,174.98,176.9,173.81,59.517,0.00596,140040850.0,24522176096.0,-0.23945267958951877,175.4
US.NVDA,NVIDIA,2025-08-22,172.61,177.99,178.59,171.2,60.54,0.00735,172789427.0,30547941703.0,1.7201965938964565,174.98
US.NVDA,NVIDIA,2025-08-25,178.35,179.81,181.91,176.57,61.159,0.00694,163012789.0,29346693140.0,1.0225293555817705,177.99
US.NVDA,NVIDIA,2025-08-26,180.055,181.77,182.39,178.81,61.826,0.00718,168688186.0,30575591578.0,1.0900394861242466,179.81
US.NVDA,NVIDIA,2025-08-27,181.98,181.6,182.49,179.1,61.768,0.01002,235518949.0,42517218533.0,-0.0935247840677867,181.77
US.NVDA,NVIDIA,2025-08-28,180.82,180.17,184.47,176.41,61.282,0.01199,281787824.0,50670090342.0,-0.7874449339207087,181.6
